#blinkered/attestations/2 language=ar words=83465 sources=4 built=2026-09-22 digest=755337eeeccad20e
#tokens ebible:arbnav=402001 fw2=1149982536 ia=65175768 lz:ara_news_2020_1M=2115891 lz:ara_news_2022_1M=1518734 tat=256885 wiki:ar=352551264 wikisource:ar=82062763
والخايفات	ia,wiki:ar	1,1	ia:tafsir_muyassar/tafsir_muyassar_djvu.txt wiki:ar:10429025
والليه	ia,wiki:ar	1,1	ia:WAQ143740/143740_djvu.txt wiki:ar:4930233
والمخي	ia,wiki:ar	1,1	ia:64302/64302_djvu.txt wiki:ar:35257
وتبعتي	ia,wiki:ar	1,1	ia:Attachawof_866/Tachawof_djvu.txt wiki:ar:4033678
وتنهيا	ia,wiki:ar	1,1	ia:mt11_1/mt10_1_djvu.txt wiki:ar:10443362
وجيوشي	ia,wiki:ar	1,1	ia:FathulMuiin/FathulMuiin_djvu.txt wiki:ar:751582
وحملتاه	ia,wiki:ar	1,1	ia:waq8275waq8275/8275_djvu.txt wiki:ar:10327859
وخداني	ia,wiki:ar	1,1	ia:SahihMuslimKarmi/Sahih_Muslim_Karmi_djvu.txt wiki:ar:3207027
ودهية	ia,wiki:ar	1,1	ia:WAQkttkkttk/kttk_djvu.txt wiki:ar:10055795
وريتني	ia,wiki:ar	1,1	ia:saqbambo6754/saqbambo6754_djvu.txt wiki:ar:9120410
وساتغير	ia,wiki:ar	1,1	ia:20221008_20221008_0924/%D8%A3%D8%AD%D8%A8%D8%A8%D8%AA%20%D9%88%D8%BA%D8%AF%D8%A7_djvu.txt wiki:ar:5134361
وستحيون	ia,wiki:ar	1,1	ia:hashytsawi/hashytsawi1_djvu.txt wiki:ar:1737408
وسترمان	ia,wiki:ar	1,1	ia:1Baheeet.blogspot.com/%E2%80%AB%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D9%8A%D8%B3%D8%B1%D8%A9%20-%20%D8%A7%D9%84%D8%AC%D8%B2%D8%A1%201%20%D8%A7%D9%84%D8%A3%D9%88%D9%84%20-%20Baheeet.blogspot.com_djvu.txt wiki:ar:1971333
وسنوبل	ia,wiki:ar	1,1	ia:WAQ93695/93695_djvu.txt wiki:ar:2963554
وسيسمون	ia,wiki:ar	1,1	ia:WAQ143994/143994_djvu.txt wiki:ar:10017001
وشابكت	ia,wiki:ar	1,1	ia:123boukrika44_maktoob_20131226/%D8%A7%D9%84%D8%A8%D8%A4%D8%B3%D8%A7%D8%A1-%20%D8%AE%D9%85%D8%B3%D8%A9%20%D9%85%D8%AC%D9%84%D8%AF%D8%A7%D8%AA%20%D9%83%D8%A7%D9%85%D9%84%D8%A9_djvu.txt wiki:ar:238772
وشخصيتا	ia,wiki:ar	1,1	ia:nawislnawisl_201512/nawisl_djvu.txt wiki:ar:745380
وصنيعتك	ia,wiki:ar	1,1	ia:WAQ93321/93321_djvu.txt wiki:ar:1322566
وطاردنا	ia,wiki:ar	1,1	ia:tarikh_almaghrib/tarikh_almaghrib_djvu.txt wiki:ar:54972
وطبالي	ia,wiki:ar	1,1	ia:ma3lama-m-00/24_155194_djvu.txt wiki:ar:7984955
وفتاهم	ia,wiki:ar	1,1	ia:waq0174/0174_djvu.txt wiki:ar:9920903
وكزي	ia,wiki:ar	1,1	ia:ChineseArabicDictionary/ChineseArabicDictionary_djvu.txt wiki:ar:236095
وكشقيق	ia,wiki:ar	1,1	ia:AlAkhbar1984EgyptArabic/Apr%2001%201984%2C%20%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1%20(Al-Akhbar)%2C%20%239924%2C%20Egypt%20(ar)_djvu.txt wiki:ar:1739832
ولاقضى	ia,wiki:ar	1,1	ia:1_20210716_20210716_2159/%D9%82%D8%B5%D8%A9%20%D8%A7%D9%84%D9%84%D8%BA%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%20-%20%D8%A7%D9%88%D9%84%D9%89%20%D8%AB%D8%A7%D9%86%D9%88%D9%8A_djvu.txt wiki:ar:121723
ولدعمي	ia,wiki:ar	1,1	ia:waq8275waq8275/8275_djvu.txt wiki:ar:494425
وللدمية	ia,wiki:ar	1,1	ia:WAQ64293/64293_djvu.txt wiki:ar:1898989
ومتحيزون	ia,wiki:ar	1,1	ia:waq55918/55918_djvu.txt wiki:ar:8222667
ومجنونان	ia,wiki:ar	1,1	ia:WAQ58756/58756_djvu.txt wiki:ar:715789
ومحبطه	ia,wiki:ar	1,1	ia:WAQ141254/141254_djvu.txt wiki:ar:335879
ويعبثن	ia,wiki:ar	1,1	ia:1_20210716_20210716_2159/%D9%82%D8%B5%D8%A9%20%D8%A7%D9%84%D9%84%D8%BA%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%20-%20%D8%A7%D9%88%D9%84%D9%89%20%D8%AB%D8%A7%D9%86%D9%88%D9%8A_djvu.txt wiki:ar:6566290
يدونهم	ia,wiki:ar	1,1	ia:WAQ49696/49696_djvu.txt wiki:ar:895213
يسببك	ia,wiki:ar	1,1	ia:Attachawof_866/Tachawof_djvu.txt wiki:ar:5280111
يضايقانه	ia,wiki:ar	1,1	ia:khadiga_geo_yahoo_201611/%D8%B4%D8%B8%D8%A7%D9%8A%D8%A7-%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%A7%D9%86%D9%81%D8%AC%D8%A7%D8%B1_djvu.txt wiki:ar:10404348
يغطني	ia,wiki:ar	1,1	ia:WAQ94636/94636_djvu.txt wiki:ar:126471
يلاحقاه	ia,wiki:ar	1,1	ia:ktp2019-bk8445/ktp2019-bk8445_djvu.txt wiki:ar:1113103
اتحاداته	fw2,wiki:ar	11,3	fw2:http://albaath.news.sy/?p=147368 fw2:https://masarbadil.org/2022/11/3153/ wiki:ar:4612190 wiki:ar:7537597
اختباراتهما	fw2,wiki:ar	11,3	fw2:https://ara.reuters.com/article/arabicBusinessNews/idARAL5E8M54CA20121105 fw2:https://www.tagteyat.com/2012/06/27/1809.html wiki:ar:2642981 wiki:ar:7535102
الاجهاضية	fw2,wiki:ar	11,3	fw2:http://marcharbel.lilhayat.com/pope/GospelofLIFE.htm fw2:https://maqalatonline.com/6058/ wiki:ar:487152 wiki:ar:5105403
الشريرتين	fw2,wiki:ar	11,3	fw2:http://syria.alsafahat.net/%D8%B9%D9%86-%D8%AF%D9%88%D9%86%D8%A7%D9%84%D8%AF-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%D8%A9/ fw2:https://www.almothaqaf.com/b/nesos2019/956364 wiki:ar:9229250 wiki:ar:10205885
العنترة	fw2,wiki:ar	11,3	fw2:http://almasdaronline.com/article/28246 fw2:http://alfjeralgaaded.com/articles.php?id=281 wiki:ar:1902402 wiki:ar:3533498
الكبيرو	fw2,wiki:ar	11,3	fw2:https://mop.gov.iq/news/view/details?id=147 fw2:http://www.cocoon.ma/category/%D8%AD%D9%85%D9%84/%D9%88%D9%84%D8%A7%D8%AF%D8%A9/ wiki:ar:464197 wiki:ar:8580165
المنتشران	fw2,wiki:ar	11,3	fw2:http://khayma.com/almoudaress/amrad/amrad1.html fw2:http://www.alwahdawi.net/articles.php?lng=arabic&id=93 wiki:ar:7398828 wiki:ar:9597122
